loop_id;module;function_name;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;
2;binary;convolve_baseline;sobel.c:55-56;Innermost;35.01;5.94;5.94;5.94;5.94;
5;binary;sobel_baseline;sobel.c:77-84;Innermost;33.62;5.71;5.71;5.71;5.71;
3;binary;convolve_baseline;sobel.c:54-56;Outermost;17.08;2.9;2.9;2.9;2.9;
0;binary;grayscale_weighted;sobel.c:20-29;Single;3.95;0.67;0.67;0.67;0.67;
