Node;Process;Thread;System (%);Binary (%);Time (s);Math (%);OMP (%);String (%);Others (%);IO (%);Memory (%);MPI (%);Pthread (%);
_ALL;_ALL;_ALL;3.78;96.21;16.97;0;0;0;0;0.01;0;0;0;
kali;_ALL;_ALL;3.78;96.21;16.97;0;0;0;0;0.01;0;0;0;
kali;20894;_ALL;3.78;96.21;16.97;0;0;0;0;0.01;0;0;0;
kali;20894;20894;3.78;96.21;16.97;0;0;0;0;0.01;0;0;0;
