loop_id;module;function_name;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;
4;binary;process_unrolled;invert_unrolled.c:107-141;Single;9.01;0.09;0.09;0.09;0.09;
3;binary;process_unrolled;invert_unrolled.c:71-105;Single;8.19;0.08;0.08;0.08;0.08;
2;binary;process_unrolled;invert_unrolled.c:35-69;Single;7.98;0.08;0.08;0.08;0.08;
5;binary;process_unrolled;invert_unrolled.c:143-177;Single;7.78;0.08;0.08;0.08;0.08;
