module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;
binary;process_unrolled;invert_unrolled.c:30-179;32.96;0.32;;;;
kernel;copy_user_enhanced_fast_string;;23.54;0.23;;;;
kernel;iov_iter_fault_in_readable;;1.54;0.02;;;;
kernel;__list_del_entry_valid;;1.43;0.01;;;;
kernel;get_page_from_freelist;;1.43;0.01;;;;
kernel;__block_commit_write.isra.39;;1.33;0.01;;;;
kernel;ext4_mark_iloc_dirty;;1.23;0.01;;;;
kernel;find_get_entry;;1.23;0.01;;;;
kernel;crc32c_pcl_intel_update;;1.13;0.01;;;;
kernel;mark_buffer_dirty;;1.13;0.01;;;;
kernel;xas_load;;1.02;0.01;;;;
kernel;kmem_cache_alloc;;1.02;0.01;;;;
kernel;start_this_handle;;0.92;0.01;;;;
kernel;__pagevec_lru_add_fn;;0.92;0.01;;;;
kernel;generic_file_read_iter;;0.92;0.01;;;;
kernel;_raw_spin_lock;;0.82;0.01;;;;
kernel;__add_to_page_cache_locked;;0.72;0.01;;;;
kernel;map_id_up;;0.72;0.01;;;;
kernel;ext4_es_lookup_extent;;0.61;0.01;;;;
kernel;jbd2_journal_stop;;0.61;0.01;;;;
kernel;_raw_spin_lock_irqsave;;0.61;0.01;;;;
kernel;xas_store;;0.61;0.01;;;;
kernel;create_empty_buffers;;0.61;0.01;;;;
kernel;try_charge;;0.61;0.01;;;;
kernel;memset_erms;;0.51;0.01;;;;
kernel;iov_iter_copy_from_user_atomic;;0.51;0.01;;;;
kernel;__alloc_pages_nodemask;;0.51;0.01;;;;
kernel;find_get_entries;;0.51;0.01;;;;
kernel;ext4_da_write_begin;;0.41;0;;;;
kernel;__ext4_get_inode_loc;;0.41;0;;;;
kernel;ext4_inode_csum.isra.62;;0.41;0;;;;
kernel;xas_set_mark;;0.41;0;;;;
kernel;__dquot_alloc_space;;0.41;0;;;;
kernel;__find_get_block;;0.41;0;;;;
kernel;memcg_kmem_get_cache;;0.41;0;;;;
kernel;kmem_cache_free;;0.41;0;;;;
kernel;ext4_da_get_block_prep;;0.31;0;;;;
kernel;ext4_block_write_begin;;0.31;0;;;;
kernel;ext4_da_invalidatepage;;0.31;0;;;;
kernel;jbd2__journal_start;;0.31;0;;;;
kernel;down_read;;0.31;0;;;;
kernel;_cond_resched;;0.31;0;;;;
kernel;__mark_inode_dirty;;0.31;0;;;;
kernel;__mod_lruvec_state;;0.31;0;;;;
kernel;free_pcppages_bulk;;0.31;0;;;;
kernel;prep_new_page;;0.31;0;;;;
kernel;node_page_state;;0.31;0;;;;
kernel;__mod_node_page_state;;0.31;0;;;;
kernel;release_pages;;0.31;0;;;;
kernel;node_dirty_ok;;0.31;0;;;;
kernel;__test_set_page_writeback;;0.31;0;;;;
kernel;native_queued_spin_lock_slowpath;;0.31;0;;;;
kernel;up_read;;0.31;0;;;;
kernel;ext4_dirty_inode;;0.2;0;;;;
kernel;ext4_da_write_end;;0.2;0;;;;
kernel;ext4_reserve_inode_write;;0.2;0;;;;
kernel;ext4_inode_csum_set;;0.2;0;;;;
kernel;ext4_es_insert_delayed_block;;0.2;0;;;;
kernel;__ext4_handle_dirty_metadata;;0.2;0;;;;
kernel;__ext4_journal_start_sb;;0.2;0;;;;
kernel;add_transaction_credits;;0.2;0;;;;
kernel;_raw_read_lock;;0.2;0;;;;
kernel;xas_create;;0.2;0;;;;
kernel;xas_clear_mark;;0.2;0;;;;
kernel;get_random_u32;;0.2;0;;;;
kernel;copy_page_to_iter;;0.2;0;;;;
kernel;crypto_shash_update;;0.2;0;;;;
kernel;alloc_page_buffers;;0.2;0;;;;
kernel;__brelse;;0.2;0;;;;
kernel;mem_cgroup_uncharge_list;;0.2;0;;;;
kernel;mem_cgroup_try_charge;;0.2;0;;;;
kernel;__mod_memcg_state.part.54;;0.2;0;;;;
kernel;inc_zone_page_state;;0.2;0;;;;
kernel;page_mapping;;0.2;0;;;;
kernel;pagevec_lru_move_fn;;0.2;0;;;;
kernel;account_page_dirtied;;0.2;0;;;;
kernel;find_get_pages_range_tag;;0.2;0;;;;
kernel;unlock_page;;0.2;0;;;;
kernel;rcu_all_qs;;0.2;0;;;;
kernel;psi_task_change;;0.2;0;;;;
kernel;__wake_up_common_lock;;0.2;0;;;;
libc-2.29.so;psiginfo;;0.2;0;;;;
kernel;ext4_finish_bio;;0.1;0;;;;
kernel;ext4_da_reserve_space;;0.1;0;;;;
kernel;mpage_prepare_extent_to_map;;0.1;0;;;;
kernel;mpage_map_and_submit_buffers;;0.1;0;;;;
kernel;ext4_invalidatepage;;0.1;0;;;;
kernel;__es_remove_extent;;0.1;0;;;;
kernel;__es_tree_search.isra.14;;0.1;0;;;;
kernel;__es_insert_extent;;0.1;0;;;;
kernel;ext4_get_group_desc;;0.1;0;;;;
kernel;jbd2_journal_dirty_metadata;;0.1;0;;;;
kernel;jbd2_write_access_granted.part.10;;0.1;0;;;;
kernel;entry_SYSCALL_64;;0.1;0;;;;
kernel;_raw_write_lock;;0.1;0;;;;
kernel;clear_page_erms;;0.1;0;;;;
kernel;xas_start;;0.1;0;;;;
kernel;rb_prev;;0.1;0;;;;
kernel;__domain_mapping;;0.1;0;;;;
kernel;percpu_counter_add_batch;;0.1;0;;;;
kernel;__bitmap_and;;0.1;0;;;;
kernel;blk_queue_bounce;;0.1;0;;;;
kernel;aa_file_perm;;0.1;0;;;;
kernel;inotify_handle_event;;0.1;0;;;;
kernel;dnotify_flush;;0.1;0;;;;
kernel;generic_write_end;;0.1;0;;;;
kernel;block_write_end;;0.1;0;;;;
kernel;__getblk_gfp;;0.1;0;;;;
kernel;drop_buffers;;0.1;0;;;;
kernel;__fdget_pos;;0.1;0;;;;
kernel;mem_cgroup_commit_charge;;0.1;0;;;;
kernel;mem_cgroup_page_lruvec;;0.1;0;;;;
kernel;lock_page_memcg;;0.1;0;;;;
kernel;page_counter_try_charge;;0.1;0;;;;
kernel;___slab_alloc;;0.1;0;;;;
kernel;new_slab;;0.1;0;;;;
kernel;policy_nodemask;;0.1;0;;;;
kernel;__inc_numa_state;;0.1;0;;;;
kernel;__inc_node_page_state;;0.1;0;;;;
kernel;__inc_node_state;;0.1;0;;;;
kernel;__inc_zone_state;;0.1;0;;;;
kernel;__mod_zone_page_state;;0.1;0;;;;
kernel;mark_page_accessed;;0.1;0;;;;
kernel;__lru_cache_add;;0.1;0;;;;
kernel;clear_page_dirty_for_io;;0.1;0;;;;
kernel;balance_dirty_pages_ratelimited;;0.1;0;;;;
kernel;find_get_pages_range;;0.1;0;;;;
kernel;grab_cache_page_write_begin;;0.1;0;;;;
kernel;pagecache_get_page;;0.1;0;;;;
kernel;generic_perform_write;;0.1;0;;;;
kernel;try_to_release_page;;0.1;0;;;;
kernel;unaccount_page_cache_page;;0.1;0;;;;
kernel;tick_sched_do_timer;;0.1;0;;;;
kernel;__srcu_read_lock;;0.1;0;;;;
kernel;__wake_up_common;;0.1;0;;;;
kernel;irq_exit;;0.1;0;;;;
libc-2.29.so;__nss_group_lookup;;0.1;0;;;;
libc-2.29.so;_IO_fwrite;;0.1;0;;;;
kernel;do_syscall_64;;0.1;0;;;;
